model,season,metric,stage,HWN,HWF,Average,id_data
SVR-rbf,1,mape,prediction,2.63751488288447,1.8818640903603103,2.25968948662239,978f49d7
SVR-linear,1,mape,prediction,4.019676896210839,3.8146103076404416,3.9171436019256403,978f49d7
XGB10,1,mape,prediction,1.7396975113939983,1.5032586011346019,1.6214780562643,978f49d7
RNN16,1,mape,prediction,1.7475710948565095,0.8773411488324404,1.312456121844475,978f49d7
LSTM16,1,mape,prediction,0.6084650703600025,1.2012950895761474,0.904880079968075,978f49d7
CNNRNN16,1,mape,prediction,1.1107630450926769,0.8679898095755517,0.9893764273341144,978f49d7
CNNLSTM16,1,mape,prediction,1.9277615140433149,2.0209344018499196,1.9743479579466172,978f49d7
MLP16,1,mape,prediction,1.0033593971070736,0.8938328649086971,0.9485961310078853,978f49d7
Linear,2,mape,prediction,1.0399538939318163,1.1155534716754034,1.0777536828036098,978f49d7
RF10,2,mape,prediction,2.10330395445006,1.1159490588570682,1.609626506653564,978f49d7
SVR-rbf,2,mape,prediction,2.610732116761248,2.8154276016679747,2.713079859214611,978f49d7
SVR-linear,2,mape,prediction,2.1281470238746936,2.099349392293003,2.113748208083848,978f49d7
XGB10,2,mape,prediction,1.9254437369151607,2.0017873481689152,1.9636155425420379,978f49d7
RNN16,2,mape,prediction,1.6611495003621477,1.220670932035156,1.440910216198652,978f49d7
LSTM16,2,mape,prediction,0.8174417687143523,1.2459401800482728,1.0316909743813125,978f49d7
CNNRNN16,2,mape,prediction,1.1110910435473675,0.850153834188391,0.9806224388678793,978f49d7
CNNLSTM16,2,mape,prediction,1.8091488925458024,2.412156755066467,2.110652823806135,978f49d7
MLP16,2,mape,prediction,0.8013671770981132,0.7824094916040969,0.7918883343511051,978f49d7
Linear,3,mape,prediction,2.866323228133735,2.366083166569669,2.6162031973517017,978f49d7
RF10,3,mape,prediction,2.7968181818181854,2.2653003661518345,2.5310592739850097,978f49d7
SVR-rbf,3,mape,prediction,1.882500391187921,1.4768493938428946,1.6796748925154077,978f49d7
SVR-linear,3,mape,prediction,3.175280077076615,2.3411019708940257,2.7581910239853205,978f49d7
XGB10,3,mape,prediction,2.745880249908903,2.027730399343666,2.386805324626285,978f49d7
RNN16,3,mape,prediction,1.5984371440183547,0.4658374430117388,1.0321372935150468,978f49d7
LSTM16,3,mape,prediction,0.9190029128260555,0.7927241299132977,0.8558635213696766,978f49d7
CNNRNN16,3,mape,prediction,0.7109879916896871,0.7772917959378686,0.7441398938137778,978f49d7
CNNLSTM16,3,mape,prediction,1.3461207057848605,1.0211609425785624,1.1836408241817113,978f49d7
MLP16,3,mape,prediction,1.020255935230306,1.0442983404493424,1.032277137839824,978f49d7
Linear,4,mape,prediction,3.2434446073405545,5.029776492000759,4.136610549670657,978f49d7
RF10,4,mape,prediction,2.874421107628005,3.6906176160341424,3.2825193618310737,978f49d7
SVR-rbf,4,mape,prediction,2.7627527738346007,3.685394600645002,3.2240736872398013,978f49d7
SVR-linear,4,mape,prediction,3.088992347823425,4.067962565916638,3.578477456870031,978f49d7
XGB10,4,mape,prediction,2.004316487022956,1.7420938145356684,1.8732051507793122,978f49d7
RNN16,4,mape,prediction,1.188750550335975,2.3748727855558105,1.7818116679458926,978f49d7
LSTM16,4,mape,prediction,0.7941642343110356,2.0314468903017606,1.412805562306398,978f49d7
CNNRNN16,4,mape,prediction,1.3155072332834283,1.127578348138862,1.2215427907111451,978f49d7
CNNLSTM16,4,mape,prediction,2.0876896524287614,2.5374978950869993,2.3125937737578806,978f49d7
MLP16,4,mape,prediction,1.050594542078631,1.029329922696903,1.0399622323877669,978f49d7
Linear,5,mape,prediction,2.154547065765107,3.535362994021123,2.844955029893115,978f49d7
RF10,5,mape,prediction,1.0425,2.710172994199305,1.8763364970996526,978f49d7
SVR-rbf,5,mape,prediction,1.0708851956714276,4.492382243389864,2.781633719530646,978f49d7
SVR-linear,5,mape,prediction,1.3461554525190105,4.867469095134574,3.106812273826792,978f49d7
XGB10,5,mape,prediction,0.8372791032032889,3.5785706239669013,2.207924863585095,978f49d7
RNN16,5,mape,prediction,0.8484795975795751,9.124462435464876,4.986471016522225,978f49d7
LSTM16,5,mape,prediction,0.9271972734409694,4.207739938521199,2.567468605981084,978f49d7
CNNRNN16,5,mape,prediction,0.6132921125271992,2.98374239964632,1.7985172560867595,978f49d7
CNNLSTM16,5,mape,prediction,0.9348569193378209,4.869701686510353,2.9022793029240868,978f49d7
MLP16,5,mape,prediction,0.8987189758168233,1.8846437120668231,1.3916813439418232,978f49d7
Linear,6,mape,prediction,0.7263035671933229,0.7154429583630488,0.7208732627781859,978f49d7
RF10,6,mape,prediction,0.9829324773587069,0.890262088096035,0.936597282727371,978f49d7
SVR-rbf,6,mape,prediction,0.4857994675907558,0.4939553499423914,0.4898774087665736,978f49d7
SVR-linear,6,mape,prediction,0.6151988062789827,0.5744686237805352,0.5948337150297589,978f49d7
XGB10,6,mape,prediction,0.7232641978658106,0.7432110768111971,0.7332376373385039,978f49d7
RNN16,6,mape,prediction,0.6628149033100426,0.65693995409019,0.6598774287001163,978f49d7
LSTM16,6,mape,prediction,0.4610995267928432,0.472272471598559,0.4666859991957011,978f49d7
CNNRNN16,6,mape,prediction,0.44016107657172626,0.46678932209208696,0.4534751993319066,978f49d7
CNNLSTM16,6,mape,prediction,0.6916788855988906,0.6048380899487827,0.6482584877738367,978f49d7
MLP16,6,mape,prediction,0.47429138382538405,0.6328771396099305,0.5535842617176573,978f49d7
Linear,7,mape,prediction,1.5862326481715712,1.7236189312605508,1.654925789716061,978f49d7
RF10,7,mape,prediction,0.9184530184743988,1.1869019100793536,1.0526774642768761,978f49d7
SVR-rbf,7,mape,prediction,1.2320531275214222,1.337324176739032,1.2846886521302272,978f49d7
SVR-linear,7,mape,prediction,1.5482417318070607,1.857122685497282,1.7026822086521713,978f49d7
XGB10,7,mape,prediction,0.9433056624988436,1.1375983015399398,1.0404519820193916,978f49d7
RNN16,7,mape,prediction,0.8293122671886183,0.9835078918305177,0.906410079509568,978f49d7
LSTM16,7,mape,prediction,1.38432234992397,1.5631110228178688,1.4737166863709195,978f49d7
CNNRNN16,7,mape,prediction,1.2263643411514218,1.2875438225853906,1.2569540818684062,978f49d7
CNNLSTM16,7,mape,prediction,0.4212187887367258,0.44922675382243876,0.4352227712795823,978f49d7
MLP16,7,mape,prediction,1.2414632321414185,1.1613958819946268,1.2014295570680227,978f49d7
Linear,8,mape,prediction,7.822675672459934,1.6578243268933686,4.740249999676651,978f49d7
RF10,8,mape,prediction,6.158026315789486,2.613333333333335,4.385679824561411,978f49d7
SVR-rbf,8,mape,prediction,4.504818070463015,1.2080986122359314,2.856458341349473,978f49d7
SVR-linear,8,mape,prediction,7.5666832038899186,1.8643908887803131,4.715537046335116,978f49d7
XGB10,8,mape,prediction,3.880915182965399,2.111373990008952,2.9961445864871754,978f49d7
RNN16,8,mape,prediction,5.373218265771717,1.1918775805438488,3.282547923157783,978f49d7
LSTM16,8,mape,prediction,3.305493064401072,0.9958083824103727,2.150650723405722,978f49d7
CNNRNN16,8,mape,prediction,5.06486179247329,1.555634611015621,3.3102482017444554,978f49d7
CNNLSTM16,8,mape,prediction,2.735215933388584,1.8325889021816686,2.2839024177851264,978f49d7
MLP16,8,mape,prediction,1.6008815302559125,1.0699725977883603,1.3354270640221364,978f49d7
Linear,9,mape,prediction,4.547781357309357,2.9304256297961007,3.7391034935527285,978f49d7
RF10,9,mape,prediction,2.147631606802284,2.5410504226757977,2.344341014739041,978f49d7
SVR-rbf,9,mape,prediction,2.727054022293438,1.3716854225858186,2.0493697224396286,978f49d7
SVR-linear,9,mape,prediction,2.365302376980113,2.0644553599214785,2.214878868450796,978f49d7
