id,filename,boxes,top_n,var_thresh,modes,frequency,season,methods,extra_indices,only_sea
6b0b2aaf,predictor_6b0b2aaf_5.parquet,0,30,0.1,1,2monthly,5,ps,None,True
6b0b2aaf,predictor_6b0b2aaf_6.parquet,0,30,0.1,1,2monthly,6,ps,None,True
6b0b2aaf,predictor_6b0b2aaf_7.parquet,0,30,0.1,1,2monthly,7,ps,None,True
6b0b2aaf,predictor_6b0b2aaf_8.parquet,0,30,0.1,1,2monthly,8,ps,None,True
6b0b2aaf,predictor_6b0b2aaf_9.parquet,0,30,0.1,1,2monthly,9,ps,None,True
6b0b2aaf,predictor_6b0b2aaf_10.parquet,0,30,0.1,1,2monthly,10,ps,None,True
6b0b2aaf,predictor_6b0b2aaf_11.parquet,0,30,0.1,1,2monthly,11,ps,None,True
6b0b2aaf,predictor_6b0b2aaf_12.parquet,0,30,0.1,1,2monthly,12,ps,None,True
075b04e2,predictor_075b04e2_1.parquet,0,5,0.15,1,2monthly,1,ps,None,True
075b04e2,predictor_075b04e2_2.parquet,0,5,0.15,1,2monthly,2,ps,None,True
075b04e2,predictor_075b04e2_3.parquet,0,5,0.15,1,2monthly,3,ps,None,True
075b04e2,predictor_075b04e2_4.parquet,0,5,0.15,1,2monthly,4,ps,None,True
075b04e2,predictor_075b04e2_5.parquet,0,5,0.15,1,2monthly,5,ps,None,True
075b04e2,predictor_075b04e2_6.parquet,0,5,0.15,1,2monthly,6,ps,None,True
075b04e2,predictor_075b04e2_7.parquet,0,5,0.15,1,2monthly,7,ps,None,True
075b04e2,predictor_075b04e2_8.parquet,0,5,0.15,1,2monthly,8,ps,None,True
075b04e2,predictor_075b04e2_9.parquet,0,5,0.15,1,2monthly,9,ps,None,True
075b04e2,predictor_075b04e2_10.parquet,0,5,0.15,1,2monthly,10,ps,None,True
075b04e2,predictor_075b04e2_11.parquet,0,5,0.15,1,2monthly,11,ps,None,True
075b04e2,predictor_075b04e2_12.parquet,0,5,0.15,1,2monthly,12,ps,None,True
9f7f87dc,predictor_9f7f87dc_1.parquet,0,10,0.15,1,2monthly,1,ps,None,True
9f7f87dc,predictor_9f7f87dc_2.parquet,0,10,0.15,1,2monthly,2,ps,None,True
9f7f87dc,predictor_9f7f87dc_3.parquet,0,10,0.15,1,2monthly,3,ps,None,True
9f7f87dc,predictor_9f7f87dc_4.parquet,0,10,0.15,1,2monthly,4,ps,None,True
9f7f87dc,predictor_9f7f87dc_5.parquet,0,10,0.15,1,2monthly,5,ps,None,True
9f7f87dc,predictor_9f7f87dc_6.parquet,0,10,0.15,1,2monthly,6,ps,None,True
9f7f87dc,predictor_9f7f87dc_7.parquet,0,10,0.15,1,2monthly,7,ps,None,True
9f7f87dc,predictor_9f7f87dc_8.parquet,0,10,0.15,1,2monthly,8,ps,None,True
9f7f87dc,predictor_9f7f87dc_9.parquet,0,10,0.15,1,2monthly,9,ps,None,True
9f7f87dc,predictor_9f7f87dc_10.parquet,0,10,0.15,1,2monthly,10,ps,None,True
9f7f87dc,predictor_9f7f87dc_11.parquet,0,10,0.15,1,2monthly,11,ps,None,True
9f7f87dc,predictor_9f7f87dc_12.parquet,0,10,0.15,1,2monthly,12,ps,None,True
0f61aaac,predictor_0f61aaac_1.parquet,0,15,0.15,1,2monthly,1,ps,None,True
0f61aaac,predictor_0f61aaac_2.parquet,0,15,0.15,1,2monthly,2,ps,None,True
0f61aaac,predictor_0f61aaac_3.parquet,0,15,0.15,1,2monthly,3,ps,None,True
0f61aaac,predictor_0f61aaac_4.parquet,0,15,0.15,1,2monthly,4,ps,None,True
0f61aaac,predictor_0f61aaac_5.parquet,0,15,0.15,1,2monthly,5,ps,None,True
0f61aaac,predictor_0f61aaac_6.parquet,0,15,0.15,1,2monthly,6,ps,None,True
0f61aaac,predictor_0f61aaac_7.parquet,0,15,0.15,1,2monthly,7,ps,None,True
0f61aaac,predictor_0f61aaac_8.parquet,0,15,0.15,1,2monthly,8,ps,None,True
0f61aaac,predictor_0f61aaac_9.parquet,0,15,0.15,1,2monthly,9,ps,None,True
