model,season,metric,stage,HWN,HWF,HWD,HWM,HWA,Average,id_data
Linear,2,mape,prediction,1.8364580945247304,1.6431056932514494,1.6431056932514494,1.23627203929573,1.1862772203747296,1.5090437481396177,41e7367e
RF10,2,mape,prediction,0.8742857142857143,0.8426086956521743,0.8426086956521743,0.5822734249712467,0.6794105310341017,0.7642374123190823,41e7367e
SVR-rbf,2,mape,prediction,0.5194884667788054,0.5254438152942172,0.5254438152942172,0.5722440668651289,0.5535394125488227,0.5392319153562383,41e7367e
SVR-linear,2,mape,prediction,0.6437730675932346,0.6510270698973208,0.6510270698973208,0.7085086280351485,0.6855689660606974,0.6679809602967444,41e7367e
XGB10,2,mape,prediction,0.4061221449437161,0.3980316681046995,0.3980316681046995,0.39719916565694524,0.3980315873393289,0.39948324682987785,41e7367e
RNN16,2,mape,prediction,0.05292375002709669,0.14340840940051516,0.05870996079340387,0.1224282649612591,0.14884771769463018,0.105263620575381,41e7367e
LSTM16,2,mape,prediction,0.06410460788072524,0.1303648502814001,0.09692533573684511,0.10003346696275475,0.14689443505477243,0.10766453918329952,41e7367e
CNNRNN16,2,mape,prediction,0.053914336374866444,0.05686328125446437,0.053780678239117675,0.02656971951697768,0.07760118167131524,0.05374583941134827,41e7367e
CNNLSTM16,2,mape,prediction,0.7194853852097015,0.2827944930131806,0.2355740481279895,0.44283113890336373,0.5597559770496039,0.44808820846076786,41e7367e
MLP16,2,mape,prediction,0.00027081281297005065,0.00020862112940781306,0.00023022342939635156,0.00030349956888692454,5.490388140461916e-06,0.00020372946576032035,41e7367e
Linear,3,mape,prediction,1.3881004017549075,1.5252471480738268,1.5739371412164567,1.5530027849207915,1.6972688322975997,1.5475112616527167,41e7367e
RF10,3,mape,prediction,0.8696153846153848,1.174702798943217,1.3332196730534807,1.0075744531284478,1.1049217424280948,1.098006810433725,41e7367e
SVR-rbf,3,mape,prediction,0.7644615039036804,0.796815909147482,0.7840680822089217,0.7871932368372271,0.779768882276866,0.7824615228748354,41e7367e
SVR-linear,3,mape,prediction,0.7058048252998339,0.740631944644169,0.7334056376756104,0.7327666644321924,0.7252577406281071,0.7275733625359827,41e7367e
XGB10,3,mape,prediction,0.5079585100619741,0.598263793454068,0.587855751204365,1.1299313808279805,1.0422502980253543,0.7732519467147484,41e7367e
RNN16,3,mape,prediction,0.5369806590871564,0.6114451839023318,0.5558052836661295,0.6107101999976989,0.6331767063878324,0.5896236066082298,41e7367e
LSTM16,3,mape,prediction,0.503671529741172,0.5466996072494864,0.5485983961204065,0.5382416553659952,0.5624715495413447,0.539936547603681,41e7367e
CNNRNN16,3,mape,prediction,0.5001053648864375,0.5169378665527697,0.5311532302766996,0.5364584261545637,0.5283762962208006,0.5226062368182542,41e7367e
CNNLSTM16,3,mape,prediction,0.8015527986784553,0.5929245481210014,0.7345145717370898,0.7655058757632186,0.8252255980739596,0.743944678474745,41e7367e
MLP16,3,mape,prediction,0.5753627602605904,0.5279941926949581,0.5928179955913451,0.6369968247607906,0.5528708457225028,0.5772085238060374,41e7367e
Linear,4,mape,prediction,2.827218513885917,3.343104949686712,3.0868973533584656,2.6333865403186225,2.7249270331689233,2.923106878083728,41e7367e
RF10,4,mape,prediction,0.70125,0.949655172413793,1.1965384615384616,0.8619533450020747,1.1049062938442638,0.9628606545597187,41e7367e
SVR-rbf,4,mape,prediction,0.36528974645297607,0.371791817380541,0.37786173520558186,0.34820684169594,0.3446679013704696,0.36156360842110175,41e7367e
SVR-linear,4,mape,prediction,2.8519543503931972,3.035405877457511,3.385755929605326,3.1295624383600744,2.833012694813127,3.0471382581258473,41e7367e
XGB10,4,mape,prediction,1.243025401303688,0.9901614715047813,0.9223370811526242,1.2036637190473722,1.1202492996676252,1.0958873945352183,41e7367e
RNN16,4,mape,prediction,0.11400785706443695,0.22821707725879864,0.10694401390418729,0.1472062167802786,0.17957699816136147,0.15519043263381258,41e7367e
LSTM16,4,mape,prediction,0.050990817412772484,0.12933500428918132,0.1102974012664214,0.17032226769580106,0.11493453802362918,0.11517600573756108,41e7367e
CNNRNN16,4,mape,prediction,0.04408394034494052,0.07513401221129418,0.05145155475374137,0.048714646344819514,0.05772102391194822,0.05542103551334876,41e7367e
CNNLSTM16,4,mape,prediction,0.41839963532730273,0.26281837151984033,0.22316275678747838,0.32874123968264796,0.31223837954543043,0.30907207657254,41e7367e
MLP16,4,mape,prediction,0.17239722128233376,0.025234817328407176,0.1733498362684288,0.21215247645789798,0.09760224845439985,0.13614731995829352,41e7367e
Linear,5,mape,prediction,1.0749960344033886,1.1182699611493245,1.2381662835444605,1.6516538637873839,1.382620535797995,1.2931413357365105,41e7367e
RF10,5,mape,prediction,0.6466071428571429,0.5967751842751843,0.4779278211607343,0.6589782350074893,0.644458835997255,0.6049494438595611,41e7367e
SVR-rbf,5,mape,prediction,0.5310709985928035,0.5230770078862121,0.5093057525457776,0.5329420863077949,0.5376622930158176,0.5268116276696811,41e7367e
SVR-linear,5,mape,prediction,0.5742217727698996,0.5700579625302208,0.5486888970931071,0.5788991129944019,0.5814795354670323,0.5706694561709323,41e7367e
XGB10,5,mape,prediction,0.5799674923028733,0.5604902679202318,0.5966084149832256,0.6012437878281266,0.6035515973176198,0.5883723120704154,41e7367e
RNN16,5,mape,prediction,0.46590790085976874,0.47873732394456986,0.4523752241906876,0.4975453576439694,0.4970464228348693,0.478322445894773,41e7367e
LSTM16,5,mape,prediction,0.4665676339542335,0.46008649442705263,0.4688625524778688,0.4878815537861141,0.47767619540013506,0.4722148860090808,41e7367e
CNNRNN16,5,mape,prediction,0.45954974951022126,0.44492234204560904,0.4543559305694326,0.47317895000567134,0.47286832763225883,0.4609750599526386,41e7367e
CNNLSTM16,5,mape,prediction,0.6570714726569303,0.568164365209007,0.5559152901655215,0.5968206101690301,0.6158821171515688,0.5987707710704115,41e7367e
MLP16,5,mape,prediction,0.41806534218260394,0.4116296192080965,0.34023568140760463,0.37568973966801456,0.42312774547539095,0.39374962558834214,41e7367e
Linear,6,mape,prediction,1.5712426803365045,1.5895195236714592,1.340783117433557,1.4493797345798078,1.220995704810079,1.4343841521662815,41e7367e
RF10,6,mape,prediction,0.34566666666666684,0.3272500000000001,0.6538461538461539,0.7472707450991309,0.4218290709866812,0.4991725273197266,41e7367e
SVR-rbf,6,mape,prediction,0.5982473624373321,0.6152873467528689,0.5460026079286796,0.6359318682826742,0.5864366436586274,0.5963811658120364,41e7367e
SVR-linear,6,mape,prediction,0.6553844755887005,0.6744651534303203,0.5969982096578732,0.7377143081382436,0.6411302409997062,0.6611384775629687,41e7367e
XGB10,6,mape,prediction,0.7785741678897444,0.8055776926017252,0.7520935992831596,0.8873642761043602,0.5620463852915984,0.7571312242341175,41e7367e
RNN16,6,mape,prediction,0.4047178769791472,0.4271365056425117,0.41176263678436315,0.46015325837525867,0.4109096692823918,0.4229359894127345,41e7367e
LSTM16,6,mape,prediction,0.2998473329277235,0.3199904796582235,0.2808905872433164,0.4062373321225442,0.33308862971448355,0.3280108723332582,41e7367e
CNNRNN16,6,mape,prediction,0.31641894219562,0.31573026005043314,0.2887450924340745,0.40858827802324316,0.3247590060111375,0.33084831574290163,41e7367e
CNNLSTM16,6,mape,prediction,0.42540043660064386,0.3483341509057794,0.3396915122865498,0.4389693033483927,0.3895666672028773,0.3883924140688486,41e7367e
MLP16,6,mape,prediction,0.35509310873538225,0.3611073430025544,0.36931034737727525,0.25051670186649133,0.3962372574014549,0.34645295167663165,41e7367e
Linear,7,mape,prediction,0.9297185850169873,0.9134341601599241,1.0599575286211222,1.0639807647040467,1.2219447882742775,1.0378071653552716,41e7367e
RF10,7,mape,prediction,1.0100487804878049,1.0007703359081501,1.1475927272727273,1.0080409383675601,1.1669308464901058,1.0666767257052698,41e7367e
SVR-rbf,7,mape,prediction,0.7121742436062788,0.7090284860677493,0.6939609181915837,0.7562872361225016,0.7766662056060214,0.729623417918827,41e7367e
SVR-linear,7,mape,prediction,0.741082349873816,0.7398704747137164,0.722533549378075,0.7659640001529234,0.7832462267724041,0.7505393201781869,41e7367e
XGB10,7,mape,prediction,1.2371361640005902,1.2083943736910028,1.2570325247963379,1.3737497967848877,1.3297437286501848,1.2812113175846007,41e7367e
RNN16,7,mape,prediction,0.5297808675608189,0.5482672318932394,0.4867614164229003,0.6441201877997254,0.6967018283176575,0.5811263063988682,41e7367e
LSTM16,7,mape,prediction,0.5181910604402847,0.5125927237970362,0.5027010227361647,0.6472132225136631,0.6943504597779515,0.57500969785302,41e7367e
CNNRNN16,7,mape,prediction,0.5003395975378494,0.4862380616015799,0.476773334262369,0.6350101806942858,0.6695902618204894,0.5535902871833146,41e7367e
CNNLSTM16,7,mape,prediction,0.5778915254617604,0.5188778858225999,0.5325346859448146,0.6603505922237576,0.6921854866677031,0.5963680352241271,41e7367e
MLP16,7,mape,prediction,0.45629563534847106,0.48062477850075724,0.4303725930285288,0.24259462203409474,0.4214388878835346,0.4062653033590773,41e7367e
Linear,8,mape,prediction,0.9303113289577769,1.1953316902727127,1.4431727798503877,1.1282950353840069,0.9426615039627443,1.1279544676855255,41e7367e
RF10,8,mape,prediction,0.2372093023255814,0.3860783640979897,0.382981132075472,0.25739630944898406,0.2373433263212424,0.30020168685385396,41e7367e
SVR-rbf,8,mape,prediction,0.36585098627475204,0.36672112894053926,0.4164256233182691,0.3661082849530996,0.3577565876406675,0.3745725222254655,41e7367e
SVR-linear,8,mape,prediction,0.9094929955584841,1.2284981986197396,1.445160170940206,1.011636409880985,1.0067348278676862,1.1203045205734201,41e7367e
XGB10,8,mape,prediction,0.5056514054732114,0.518118031693538,0.5684330467384261,0.5381427184427492,0.5170487428929441,0.5294787890481737,41e7367e
