model,season,metric,stage,HWN,HWF,HWD,HWM,HWA,Average,id_data
SLSTM16,1,r2,TSCV,-1.8608172368517988,-1.7321288751900048,-1.9402549301537486,-2.254921923987261,-1.7822317882234429,-1.9140709508812512,cb34c388
CNNRNN16,1,r2,TSCV,-1.501272504699382,-1.7057857184645737,-1.1079376688714018,-1.9301757618298416,-3.2035143179693457,-1.889737194366909,cb34c388
MLP16,1,r2,TSCV,-4.242460141797617,-1.7054918789614864,-1.1372237423275777,-3.863196099413108,-1.6347335659889857,-2.516621085697755,cb34c388
MLP8,1,r2,TSCV,-3.2148815156102653,-2.341484687313039,-3.000505299972192,-1.9953122022543688,-2.217809656061307,-2.5539986722422343,cb34c388
Linear,1,mape,TSCV,2.3201261792599626,2.031560878469354,2.9502123128781483,2.9647915545696293,2.0052680921319137,2.4543918034618017,cb34c388
RF5,1,mape,TSCV,1.5285341350364545,1.4256965655635119,1.3617261175596154,1.429174673678046,1.3102477439069165,1.4110758471489089,cb34c388
RF10,1,mape,TSCV,1.4261126514193991,1.456596597689854,1.5233972926912787,1.4777358431716054,1.231105112804265,1.4229894995552805,cb34c388
SVR-rbf,1,mape,TSCV,1.5044675250579715,1.43884874267555,1.8675565055322338,1.7463217952207042,1.3380920135131538,1.5790573163999226,cb34c388
SVR-linear,1,mape,TSCV,1.998969082325943,1.6608015768810283,2.3025907255550098,1.8355503951169352,1.2613536333414022,1.8118530826440638,cb34c388
SVR-cubic,1,mape,TSCV,1.4824085534538367,1.494003166308907,1.8271902697579874,1.9011795855369569,1.4093224681861207,1.6228208086487617,cb34c388
XGBL10,1,mape,TSCV,1.3221973846499715,1.4602066886205507,1.6170990746832647,1.676089357362918,1.377336079301789,1.490585716923699,cb34c388
XGBL15,1,mape,TSCV,1.387672047583664,1.5063429794836694,1.6924756751216221,1.7317869788017373,1.3458603146037325,1.5328275991188849,cb34c388
XGBT10,1,mape,TSCV,1.3221973846499715,1.4602066886205507,1.6170990746832647,1.676089357362918,1.377336079301789,1.490585716923699,cb34c388
XGBT15,1,mape,TSCV,1.387672047583664,1.5063429794836694,1.6924756751216221,1.7317869788017373,1.3458603146037325,1.5328275991188849,cb34c388
GPR,1,mape,TSCV,1.4700263766159132,1.3095735053133932,1.5846626898794962,1.6029883739881647,1.2160511928244533,1.4366604277242843,cb34c388
RNN8,1,mape,TSCV,1.4858753730945722,1.2465619925758362,1.2661435452775727,1.1811384841799168,1.241184194228623,1.2841807178713043,cb34c388
LSTM8,1,mape,TSCV,0.8979267390067281,1.0602820727055704,0.9352538409054209,0.9755029911418347,1.0532250798312,0.9844381447181508,cb34c388
RNN16,1,mape,TSCV,1.0023745934517276,0.971768092964822,1.9963453763377856,1.0435079667397034,0.783093556010993,1.1594179171010064,cb34c388
LSTM16,1,mape,TSCV,1.0642252716178469,0.9999455165862514,0.9364101662571798,0.9716029183008759,0.973712802928359,0.9891793351381027,cb34c388
SLSTM16,1,mape,TSCV,1.0113174632935977,1.0103003743452081,1.0086571891241463,1.0152918688478958,1.013809845260625,1.0118753481742948,cb34c388
CNNRNN16,1,mape,TSCV,1.0854101917307317,1.1207032091665177,0.9955098409030277,1.0047298420951745,0.8361957579065392,1.008509768360398,cb34c388
MLP16,1,mape,TSCV,1.3075768640315872,1.0841625247404736,0.871427179357401,2.0008908963552727,1.1657328448469053,1.285958061866328,cb34c388
MLP8,1,mape,TSCV,1.334666069709909,1.2751948556497572,1.5148770563578873,1.1735301942179661,1.058221032396211,1.2712978416663463,cb34c388
Linear,1,mae,TSCV,1.2382692986987913,1.16206945135893,1.2161958441910672,1.30777078863239,1.4198530105373104,1.2688316786836977,cb34c388
RF5,1,mae,TSCV,1.2222721857778613,1.184669865006559,1.0092052567894991,1.1447354762239874,1.1440350049745607,1.1409835577544936,cb34c388
RF10,1,mae,TSCV,1.167940285928673,1.1690747788440932,0.989877088833758,1.1369146306922198,1.127769446738753,1.1183152462074992,cb34c388
SVR-rbf,1,mae,TSCV,1.1521670413712577,1.1795330241600088,1.1190806321750333,1.243887540842351,1.1935448543662874,1.1776426185829876,cb34c388
SVR-linear,1,mae,TSCV,1.0130419082586772,1.0289575300864555,1.0023205958913892,0.9968221270234674,1.0085602056929437,1.0099404733905866,cb34c388
