model,season,Bounds,I_w,metric,stage,HWN,HWF,HWD,HWM,HWA,Average,id_data
LSTM16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,mape,prediction,2.1798954523481893,6.381574261624126,1.7499095897369616,3.945524262637909,2.2882343526273328,3.3090275837949035,ecf2577f
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,mape,prediction,2.0342865229069513,5.574311185052535,1.7757020259231866,2.446835572448426,1.6001510408096584,2.6862572694281512,ecf2577f
MLP16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,mape,prediction,1.6731743876546021,2.577939798726279,1.5425715950101888,3.3619017430723814,1.8762705647621116,2.206371617845113,ecf2577f
CXGB15,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,mae,prediction,0.7042579376930064,0.7451734166675217,0.7315002745529039,0.7257303666921866,0.7690430590214733,0.7351410109254185,ecf2577f
RNN16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,mae,prediction,0.664783623224288,0.7136860813034367,0.7135722160862268,0.842477985680078,0.8011817750142811,0.7471403362616622,ecf2577f
LSTM16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,mae,prediction,0.6315888118320163,0.6455728522666981,0.6536232922336892,0.7792835164188209,0.7563321741325301,0.693280129376751,ecf2577f
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,mae,prediction,0.7112112517274338,0.7197367281749028,0.7045243067102711,0.799137989363267,0.762169508210257,0.7393559568372263,ecf2577f
MLP16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,mae,prediction,0.6683174407375561,0.6734841854431478,0.6838294220773432,0.7786553559039968,0.7801699763068007,0.7168912760937689,ecf2577f
CXGB15,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,r2,training,0.7224268180719648,0.7273608101386,0.7003481934233018,0.6902912662872283,0.6938561865037649,0.7068566548849718,ecf2577f
RNN16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,r2,training,0.44021464912520036,0.42045266055841846,0.4181087996733779,0.3430047276177749,0.36860678795021384,0.39807752498499704,ecf2577f
LSTM16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,r2,training,0.5554863822595788,0.5721978623835459,0.5468295855583492,0.44636510037137267,0.4912393629796983,0.5224236587105089,ecf2577f
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,r2,training,0.42057371976326086,0.4079774926983797,0.37890277914867343,0.30239198995963745,0.339606399838873,0.36989047628176486,ecf2577f
MLP16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,r2,training,0.4120350167716199,0.41199118371085286,0.37830010069222564,0.2777199261247202,0.3121427336102166,0.35843779218192706,ecf2577f
CXGB15,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,mape,training,0.8039432225884019,1.445610945053645,0.8822352559751014,1.1939486692064307,1.1137670035413807,1.0879010192729919,ecf2577f
RNN16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,mape,training,1.2625749332251543,2.618692429577372,1.556322630752722,1.9586377033205828,2.6801957830640126,2.015284695987969,ecf2577f
LSTM16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,mape,training,1.1928961372596096,2.504286576496757,1.3503542748722532,2.039671004025748,2.8840200254605377,1.994245603622981,ecf2577f
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,mape,training,1.3127313125551907,2.8053107123257943,1.6741734938211852,2.011081826339767,2.4204366419740126,2.04474679740319,ecf2577f
MLP16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,mape,training,1.2923130298223544,2.399312743768177,1.631113551912833,1.9363675952693606,2.118079831091282,1.8754373503728012,ecf2577f
CXGB15,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,mae,training,0.4305466182076574,0.4197976210328035,0.45624050602815336,0.46532023125725214,0.4606003546365388,0.44650106623248104,ecf2577f
RNN16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,mae,training,0.5577940937443892,0.5467157917517371,0.5919110549960276,0.6127539419345513,0.6019009022663836,0.5822151569386178,ecf2577f
LSTM16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,mae,training,0.4788428721270857,0.4497335775418082,0.5054304447535186,0.5401442037122854,0.5122855720612836,0.49728733403919634,ecf2577f
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,mae,training,0.5559736125294842,0.5521826761648709,0.598060238377062,0.6247481279705194,0.60230728716577,0.5866543884415413,ecf2577f
MLP16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,mae,training,0.5786844431567487,0.5635382011571846,0.6228058046301183,0.6600439539406878,0.6475924237773643,0.6145329653324206,ecf2577f
CXGB15,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,r2,CV,0.251042276016423,0.18501147723151262,0.17238341331278748,0.18646190816714872,0.17692325517463775,0.1943644659805019,ecf2577f
RNN16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,r2,CV,0.16267484181890396,0.12055875143773673,0.1471361587481615,0.08221059993445697,0.10692655290223883,0.12390138096829958,ecf2577f
LSTM16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,r2,CV,0.22371886022642207,0.196200050840156,0.17442499429814567,0.11883752983572998,0.13926220541612866,0.17048872812331647,ecf2577f
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,r2,CV,0.18060151611875744,0.14982285788415683,0.16085454895397897,0.12216282806086452,0.13207977037320248,0.14910430427819205,ecf2577f
MLP16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,r2,CV,0.2205826924285222,0.18401152421575234,0.14777332237886465,0.1189993435097618,0.13241645870187685,0.1607566682469556,ecf2577f
CXGB15,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,mape,CV,1.2494955609457865,2.5101774757318935,1.4943860495651227,2.2145282759345655,1.8859283511587903,1.8709031426672318,ecf2577f
RNN16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,mape,CV,1.4249020139430393,3.210359546240208,1.671989054550788,2.111722860115326,3.021891893113571,2.2881730735925863,ecf2577f
LSTM16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,mape,CV,1.4023831092157693,3.1541223920868733,1.6813143628552405,2.4787718282643114,3.0915468556355816,2.361627709611555,ecf2577f
